date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:32	115273/115273	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_browse__bjh6absiugxe_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_browse__bjh6absiugxe_large.jpg	(from https://www.apple.com/iphone/)
21:58:33	95871/95871	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_share__cp7lmx5xndzm_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_share__cp7lmx5xndzm_large.jpg	(from https://www.apple.com/iphone/)
21:58:34	37510/37510	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_pay__53wlik447ya2_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/privacy/modal_pay__53wlik447ya2_large.jpg	(from https://www.apple.com/iphone/)
21:58:36	97200/97200	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider/camera__f389jji00bee_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider/camera__f389jji00bee_large.jpg	(from https://www.apple.com/iphone/)
21:58:36	68763/68763	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/camera/modal_stunning__d5whljci7v0i_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/camera/modal_stunning__d5whljci7v0i_large.jpg	(from https://www.apple.com/iphone/)
21:58:38	240975/240975	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/camera/modal_zoom__dr6qr7qwc18i_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/camera/modal_zoom__dr6qr7qwc18i_large.jpg	(from https://www.apple.com/iphone/)
21:58:39	112889/112889	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/camera/modal_movies__gl7spw4j3xyu_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/camera/modal_movies__gl7spw4j3xyu_large.jpg	(from https://www.apple.com/iphone/)
21:58:39	17540/17540	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider/environment__ct6r1r1bigsy_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider/environment__ct6r1r1bigsy_large.jpg	(from https://www.apple.com/iphone/)
21:58:40	57440/57440	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_recycle__f4wl04jg1z22_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_recycle__f4wl04jg1z22_large.jpg	(from https://www.apple.com/iphone/)
21:58:41	23473/23473	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_packaging__br93x19oxfhy_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_packaging__br93x19oxfhy_large.jpg	(from https://www.apple.com/iphone/)
21:58:42	85923/85923	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_trade_in__6rgqauxdihum_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_trade_in__6rgqauxdihum_large.jpg	(from https://www.apple.com/iphone/)
21:58:43	79948/79948	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_innovation__46sbsa80fhem_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_innovation__46sbsa80fhem_large.jpg	(from https://www.apple.com/iphone/)
21:58:45	358421/358421	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_on_track__ffuiyrxtiyum_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/environment/modal_on_track__ffuiyrxtiyum_large.jpg	(from https://www.apple.com/iphone/)
21:58:45	29320/29320	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider/safety__faiti3j3g0mm_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider/safety__faiti3j3g0mm_large.jpg	(from https://www.apple.com/iphone/)
21:58:46	74877/74877	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/safety/modal_range__yrz5m709ofmu_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/safety/modal_range__yrz5m709ofmu_large.jpg	(from https://www.apple.com/iphone/)
21:58:47	58922/58922	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:28%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/consider_modals/safety/modal_reassurance__dgemw59kaeeu_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/consider_modals/safety/modal_reassurance__dgemw59kaeeu_large.jpg	(from https://www.apple.com/iphone/)
21:58:48	32085/32085	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jan%202026%2000:55:29%20GMT	https://www.apple.com/v/iphone/home/ci/images/overview/select/iphone_17pro__0s6piftg70ym_large.jpg	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/v/iphone/home/ci/images/overview/select/iphone_17pro__0s6piftg70ym_large.jpg	(from https://www.apple.com/iphone/)
21:58:49	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/us/shop/goto/buy_iphone/iphone_17_pro	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/us/shop/goto/buy_iphone/iphone_17_pro	(from https://www.apple.com/iphone/)
21:58:50	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/us/shop/go/buy_iphone/iphone_17_pro	/Users/Mukira/apple-lipagas/apple-clone/www.apple.com/us/shop/go/buy_iphone/iphone_17_pro	(from https://www.apple.com/iphone/)
